title,year,first_author,citations,journal,url
[HTML][HTML] Deep learning to improve breast cancer detection on screening mammography,2019,L Shen,666,nature,"=HYPERLINK(""https://www.nature.com/articles/s41598-019-48995-4"", ""link"")"
Deep learning for image-based cancer detection and diagnosis− A survey,2018,Z Hu,434,Elsevier,"=HYPERLINK(""https://www.sciencedirect.com/science/article/pii/S0031320318301845"", ""link"")"
A deep learning approach for cancer detection and relevant gene identification,2017,P Danaee,325,Scientific,"=HYPERLINK(""https://www.worldscientific.com/doi/pdf/10.1142/9789813207813_0022"", ""link"")"
Big data and machine learning in radiation oncology: state of the art and future prospects,2016,JE Bibault,293,Elsevier,"=HYPERLINK(""http://www.ttcenter.ir/ArticleFiles/ENARTICLE/3754.pdf"", ""link"")"
On breast cancer detection: an application of machine learning algorithms on the wisconsin diagnostic dataset,2018,AFM Agarap - … the 2nd international conference on machine learning …,226,dl,"=HYPERLINK(""https://arxiv.org/pdf/1711.07831.pdf&xid=17259,15700022,15700124,15700149,15700168,15700186,15700191,15700201,15700208"", ""link"")"
Breast cancer detection using machine learning algorithms,2018,S Sharma,150,ieeexplore,"=HYPERLINK(""https://ijaem.net/issue_dcp/Breast%20Cancer%20Detection%20Using%20Machine%20Learning%20Algorithms.pdf"", ""link"")"
Deep learning for lung Cancer detection and classification,2020,A Asuntha,140,Springer,"=HYPERLINK(""https://link.springer.com/article/10.1007/s11042-019-08394-3"", ""link"")"
Skin cancer detection: a review using deep learning techniques,2021,M Dildar,137,mdpi,"=HYPERLINK(""https://www.mdpi.com/1660-4601/18/10/5479/pdf"", ""link"")"
[HTML][HTML] Breast cancer detection by leveraging Machine Learning,2020,AR Vaka,132,Elsevier,"=HYPERLINK(""https://www.sciencedirect.com/science/article/pii/S2405959520300801"", ""link"")"
Applications and limitations of machine learning in radiation oncology,2019,D Jarrett,124,birpublications,"=HYPERLINK(""https://www.birpublications.org/doi/pdf/10.1259/bjr.20190001"", ""link"")"
