title,year,first_author,citations,journal,url,search_page
[PDF][PDF] Applications of machine learning in cancer prediction and prognosis,2006,JA Cruz,1408,journals,"=HYPERLINK(""https://journals.sagepub.com/doi/pdf/10.1177/117693510600200030"", ""link"")",9
On breast cancer detection: an application of machine learning algorithms on the wisconsin diagnostic dataset,2018,AFM Agarap - … the 2nd international conference on machine learning …,226,dl,"=HYPERLINK(""https://dl.acm.org/doi/abs/10.1145/3184066.3184080"", ""link"")",1
"[HTML][HTML] Recent advancement in cancer detection using machine learning: Systematic survey of decades, comparisons and challenges",2020,T Saba - Journal of Infection and Public Health,186,Elsevier,"=HYPERLINK(""https://www.sciencedirect.com/science/article/pii/S1876034120305633"", ""link"")",1
Comparative study of machine learning algorithms for breast cancer detection and diagnosis,2016,D Bazazeh,179,ieeexplore,"=HYPERLINK(""https://ieeexplore.ieee.org/abstract/document/7818560/"", ""link"")",1
Breast cancer prediction: a comparative study using machine learning techniques,2020,MM Islam,155,Springer,"=HYPERLINK(""https://link.springer.com/article/10.1007/s42979-020-00305-w"", ""link"")",10
Machine learning techniques to diagnose breast cancer,2010,A Osareh,151,ieeexplore,"=HYPERLINK(""https://ieeexplore.ieee.org/abstract/document/5478895/"", ""link"")",5
Breast cancer detection using machine learning algorithms,2018,S Sharma,150,ieeexplore,"=HYPERLINK(""https://ieeexplore.ieee.org/abstract/document/8769187/"", ""link"")",1
"Applications of machine learning and high‐dimensional visualization in cancer detection, diagnosis, and management",2004,JF Mccarthy,148,Library,"=HYPERLINK(""https://nyaspubs.onlinelibrary.wiley.com/doi/abs/10.1196/annals.1310.020"", ""link"")",1
Machine learning classification techniques for breast cancer diagnosis,2019,DA Omondiagbe,142,iopscience,"=HYPERLINK(""https://iopscience.iop.org/article/10.1088/1757-899X/495/1/012033/meta"", ""link"")",10
Breast cancer detection using k-nearest neighbor machine learning algorithm,2016,A Alarabeyyat,139,ieeexplore,"=HYPERLINK(""https://ieeexplore.ieee.org/abstract/document/7930620/"", ""link"")",2
[HTML][HTML] Breast cancer detection by leveraging Machine Learning,2020,AR Vaka,132,Elsevier,"=HYPERLINK(""https://www.sciencedirect.com/science/article/pii/S2405959520300801"", ""link"")",1
[HTML][HTML] Machine learning applications in prostate cancer magnetic resonance imaging,2019,R Cuocolo,129,eurradiolexp,"=HYPERLINK(""https://eurradiolexp.springeropen.com/articles/10.1186/s41747-019-0109-2"", ""link"")",8
A comparative analysis of breast cancer detection and diagnosis using data visualization and machine learning applications,2020,MF Ak - Healthcare,111,mdpi,"=HYPERLINK(""https://www.mdpi.com/700984"", ""link"")",2
[PDF][PDF] Breast cancer detection based on thermographic images using machine learning and deep learning algorithms,2022,VR Allugunti - International Journal of Engineering in Computer …,95,researchgate,"=HYPERLINK(""https://www.researchgate.net/profile/Viswanatha-Allugunti-2/publication/361228083_Breast_cancer_detection_based_on_thermographic_images_using_machine_learning_and_deep_learning_algorithms/links/62a4615ea3fe3e3df86dc1b7/Breast-cancer-detection-based-on-thermographic-images-using-machine-learning-and-deep-learning-algorithms.pdf"", ""link"")",3
Deep learning solutions for skin cancer detection and diagnosis,2020,H Nahata,93,Springer,"=HYPERLINK(""https://link.springer.com/chapter/10.1007/978-3-030-40850-3_8"", ""link"")",8
Analysis of breast cancer detection using different machine learning techniques,2020,SA Mohammed,92,Springer,"=HYPERLINK(""https://link.springer.com/chapter/10.1007/978-981-15-7205-0_10"", ""link"")",1
Machine learning on mobile: An on-device inference app for skin cancer detection,2019,X Dai,87,ieeexplore,"=HYPERLINK(""https://ieeexplore.ieee.org/abstract/document/8795362/"", ""link"")",2
Medical Internet of things using machine learning algorithms for lung cancer detection,2020,K Pradhan,82,Francis,"=HYPERLINK(""https://www.tandfonline.com/doi/abs/10.1080/23270012.2020.1811789"", ""link"")",2
Prostate cancer detection using machine learning techniques by employing combination of features extracting strategies,2018,L Hussain,82,content,"=HYPERLINK(""https://content.iospress.com/articles/cancer-biomarkers/cbm170643"", ""link"")",2
Early detection of breast cancer using machine learning techniques,2018,M Tahmooresi,76,jtec,"=HYPERLINK(""https://jtec.utem.edu.my/jtec/article/view/4706"", ""link"")",5
Small-cell lung cancer detection using a supervised machine learning algorithm,2017,Q Wu,76,ieeexplore,"=HYPERLINK(""https://ieeexplore.ieee.org/abstract/document/8294165/"", ""link"")",3
[PDF][PDF] Melanoma skin cancer detection using image processing and machine learning,2019,MM Vijayalakshmi - International Journal of Trend in Scientific …,75,academia,"=HYPERLINK(""https://www.academia.edu/download/59920968/169_Melanoma_Skin_Cancer_Detection_using_Image_Processing_and_Machine_Learning20190703-23098-1o8hr8x.pdf"", ""link"")",4
[HTML][HTML] Bone cancer detection using feature extraction based machine learning model,2021,A Sharma,74,hindawi,"=HYPERLINK(""https://www.hindawi.com/journals/cmmm/2021/7433186/"", ""link"")",4
A comparative study of lung cancer detection using machine learning algorithms,2019,PR Radhika,74,ieeexplore,"=HYPERLINK(""https://ieeexplore.ieee.org/abstract/document/8869001/"", ""link"")",1
Research on logistic regression algorithm of breast cancer diagnose data by machine learning,2018,L Liu - 2018 International Conference on Robots & Intelligent …,72,ieeexplore,"=HYPERLINK(""https://ieeexplore.ieee.org/abstract/document/8410258/"", ""link"")",9
An evaluation of machine learning classifiers and ensembles for early stage prediction of lung cancer,2018,MI Faisal,70,ieeexplore,"=HYPERLINK(""https://ieeexplore.ieee.org/abstract/document/8643311/"", ""link"")",10
[PDF][PDF] A comparative analysis of nonlinear machine learning algorithms for breast cancer detection,2019,AA Bataineh - International Journal of Machine Learning and …,68,researchgate,"=HYPERLINK(""https://www.researchgate.net/profile/Ali_Al_Bataineh/publication/335142506_A_Comparative_Analysis_of_Nonlinear_Machine_Learning_Algorithms_for_Breast_Cancer_Detection/links/6071fca64585150fe99b4c72/A-Comparative-Analysis-of-Nonlinear-Machine-Learning-Algorithms-for-Breast-Cancer-Detection.pdf"", ""link"")",3
Comparative study of relevance vector machine with various machine learning techniques used for detecting breast cancer,2016,BM Gayathri,66,ieeexplore,"=HYPERLINK(""https://ieeexplore.ieee.org/abstract/document/7919576/"", ""link"")",6
Melanoma skin cancer detection using deep learning and classical machine learning techniques: A hybrid approach,2020,J Daghrir,63,ieeexplore,"=HYPERLINK(""https://ieeexplore.ieee.org/abstract/document/9231544/"", ""link"")",4
[PDF][PDF] Breast cancer detection using machine learning way,2019,SH Nallamala,63,academia,"=HYPERLINK(""https://www.academia.edu/download/83532706/B12600782S319.pdf"", ""link"")",2
[PDF][PDF] Predictive machine learning techniques for breast cancer detection,2013,S Kharya,62,Citeseer,"=HYPERLINK(""https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=ade1c950bd5e56d442ab93edab8635443efbef3c"", ""link"")",1
Skin cancer detection using machine learning techniques,2020,M Vidya,61,ieeexplore,"=HYPERLINK(""https://ieeexplore.ieee.org/abstract/document/9198489/"", ""link"")",2
Automated breast cancer detection using machine learning techniques by extracting different feature extracting strategies,2018,L Hussain,58,ieeexplore,"=HYPERLINK(""https://ieeexplore.ieee.org/abstract/document/8455925/"", ""link"")",5
Breast cancer diagnosis by different machine learning methods using blood analysis data,2018,MF Aslan,57,gcris,"=HYPERLINK(""https://gcris.ktun.edu.tr/handle/20.500.13091/158"", ""link"")",9
Lung cancer detection using image processing and machine learning healthcare,2018,W Rahane,56,ieeexplore,"=HYPERLINK(""https://ieeexplore.ieee.org/abstract/document/8551008/"", ""link"")",3
Validation of miRNAs as breast cancer biomarkers with a machine learning approach,2019,O Rehman,51,mdpi,"=HYPERLINK(""https://www.mdpi.com/434460"", ""link"")",10
Supervised machine learning model for high dimensional gene data in colon cancer detection,2015,H Chen,50,ieeexplore,"=HYPERLINK(""https://ieeexplore.ieee.org/abstract/document/7207212/"", ""link"")",4
Survey of machine learning algorithms for breast cancer detection using mammogram images,2021,G Meenalochini,49,Elsevier,"=HYPERLINK(""https://www.sciencedirect.com/science/article/pii/S2214785320364257"", ""link"")",5
Skin cancer detection and classification using machine learning,2020,MK Monika,49,Elsevier,"=HYPERLINK(""https://www.sciencedirect.com/science/article/pii/S2214785320354766"", ""link"")",3
[PDF][PDF] Analysis of the wisconsin breast cancer dataset and machine learning for breast cancer detection,1989,LR Borges - Group,48,researchgate,"=HYPERLINK(""https://www.researchgate.net/profile/Lucas-Borges-13/publication/311950799_Analysis_of_the_Wisconsin_Breast_Cancer_Dataset_and_Machine_Learning_for_Breast_Cancer_Detection/links/5864757e08ae329d6203aa82/Analysis-of-the-Wisconsin-Breast-Cancer-Dataset-and-Machine-Learning-for-Breast-Cancer-Detection.pdf"", ""link"")",3
